snapshot,src_student,dst_student,src_class,dst_class,src_gender,dst_gender,same_class,importance
1,1492,1657,MP*1,MP*1,M,M,True,0.22457176
1,601,854,PC,PSI*,M,F,False,0.22267304
1,817,847,PC*,PC*,F,F,True,0.22199984
1,1148,1181,MP*1,MP*1,M,M,True,0.22155336
1,1649,1657,MP*1,MP*1,F,M,True,0.22084045
1,1164,1644,MP*1,MP*1,M,M,True,0.21754993
1,868,873,PSI*,PSI*,M,F,True,0.21494675
1,1108,1618,MP*1,MP*1,M,M,True,0.20983043
1,600,634,PC,PSI*,F,M,False,0.20721188
1,851,853,PSI*,PSI*,M,F,True,0.20701572
1,1601,1644,MP*1,MP*1,M,M,True,0.20513681
1,1601,1629,MP*1,MP*1,M,M,True,0.20513679
1,848,1492,PSI*,MP*1,M,M,False,0.20490992
1,683,696,PC,PC,F,F,True,0.20236564
1,601,613,PC,PC,M,M,True,0.19977945
1,1170,1667,MP*1,MP*1,M,M,True,0.19901451
1,826,830,PSI*,PSI*,M,M,True,0.1982255
1,855,873,PSI*,PSI*,F,F,True,0.19707245
1,807,882,PC*,PC*,M,M,True,0.19379698
1,1190,1657,MP*1,MP*1,M,M,True,0.1926987
1,652,682,PC,PC,M,M,True,0.19116002
1,600,866,PC,PSI*,F,M,False,0.19007204
1,600,871,PC,PSI*,F,M,False,0.19007194
1,1144,1148,MP*1,MP*1,F,M,True,0.18826219
1,652,891,PC,PC*,M,M,False,0.18689303
1,891,892,PC*,PC*,M,M,True,0.18689303
1,654,658,PC,PC,M,M,True,0.18634257
1,815,880,PC*,PC*,M,M,True,0.18587166
1,1651,1674,MP*1,MP*1,M,M,True,0.18455425
1,1667,1674,MP*1,MP*1,M,M,True,0.18455425
1,634,866,PSI*,PSI*,M,M,True,0.1839999
1,610,683,PC,PC,M,F,True,0.18171105
1,634,828,PSI*,PSI*,M,M,True,0.18162873
1,853,864,PSI*,PSI*,F,M,True,0.18054919
1,1144,1601,MP*1,MP*1,F,M,True,0.18028308
1,853,873,PSI*,PSI*,F,F,True,0.17972991
1,857,1657,PSI*,MP*1,M,M,False,0.17883411
1,882,890,PC*,PC*,M,M,True,0.17847589
1,853,855,PSI*,PSI*,F,F,True,0.1780068
1,1181,1657,MP*1,MP*1,M,M,True,0.17672555
1,664,867,PSI*,PSI*,F,M,True,0.17200175
1,692,847,PC,PC*,M,F,False,0.17169727
1,634,867,PSI*,PSI*,M,M,True,0.16966587
1,828,866,PSI*,PSI*,M,M,True,0.16909839
1,866,871,PSI*,PSI*,M,M,True,0.16909838
1,1601,1613,MP*1,MP*1,M,M,True,0.16892055
1,628,681,PC,PC,F,F,True,0.16864237
1,601,660,PC,PC,M,M,True,0.16794626
1,1144,1644,MP*1,MP*1,F,M,True,0.16747013
1,1144,1629,MP*1,MP*1,F,M,True,0.16747013
1,828,871,PSI*,PSI*,M,M,True,0.16701116
1,628,667,PC,PC,F,F,True,0.16616367
1,609,815,PC,PC*,M,M,False,0.16573659
1,1629,1644,MP*1,MP*1,M,M,True,0.16525787
1,658,690,PC,PC,M,M,True,0.16477764
1,1492,1613,MP*1,MP*1,M,M,True,0.16465306
1,634,826,PSI*,PSI*,M,M,True,0.16354533
1,1644,1667,MP*1,MP*1,M,M,True,0.16290212
1,1629,1667,MP*1,MP*1,M,M,True,0.16290212
1,610,623,PC,PC,M,F,True,0.15784532
1,1170,1678,MP*1,MP*1,M,M,True,0.15550476
1,1618,1678,MP*1,MP*1,M,M,True,0.15550476
1,683,847,PC,PC*,F,F,False,0.15467244
1,623,681,PC,PC,F,F,True,0.15339448
1,610,651,PC,PC,M,M,True,0.15290989
1,892,896,PC*,PC*,M,M,True,0.15290852
1,634,854,PSI*,PSI*,M,F,True,0.15267554
1,1622,1651,MP*1,MP*1,M,M,True,0.15215576
1,654,667,PC,PC,M,F,True,0.1519707
1,1651,1657,MP*1,MP*1,M,M,True,0.15175416
1,867,868,PSI*,PSI*,M,M,True,0.15143806
1,623,667,PC,PC,F,F,True,0.15136433
1,1144,1667,MP*1,MP*1,F,M,True,0.15068752
1,628,683,PC,PC,F,F,True,0.14839834
1,826,828,PSI*,PSI*,M,M,True,0.14750744
1,1144,1190,MP*1,MP*1,F,M,True,0.14715314
1,634,664,PSI*,PSI*,M,F,True,0.14599553
1,623,628,PC,PC,F,F,True,0.14527503
1,683,692,PC,PC,F,M,True,0.14238323
1,886,894,PC*,PC*,M,M,True,0.14229687
1,854,871,PSI*,PSI*,F,M,True,0.14206599
1,854,866,PSI*,PSI*,F,M,True,0.14206599
1,828,854,PSI*,PSI*,M,F,True,0.14206599
1,634,871,PSI*,PSI*,M,M,True,0.14167058
1,894,896,PC*,PC*,M,M,True,0.14139009
1,821,894,PC*,PC*,M,M,True,0.14139009
1,848,1651,PSI*,MP*1,M,M,False,0.13951191
1,1170,1672,MP*1,MP*1,M,M,True,0.13864768
1,1108,1657,MP*1,MP*1,M,M,True,0.13741064
1,664,828,PSI*,PSI*,F,M,True,0.13734029
1,889,897,PC*,PC*,M,M,True,0.13726914
1,1190,1667,MP*1,MP*1,M,M,True,0.13663545
1,692,698,PC,PC,M,M,True,0.13572291
1,1108,1645,MP*1,MP*1,M,M,True,0.13491097
1,601,823,PC,PC*,M,M,False,0.13463412
1,826,868,PSI*,PSI*,M,M,True,0.13406779
1,807,889,PC*,PC*,M,M,True,0.13335024
1,664,868,PSI*,PSI*,F,M,True,0.13008726
1,654,683,PC,PC,M,F,True,0.12903333
1,1181,1613,MP*1,MP*1,M,M,True,0.12819403
1,651,681,PC,PC,M,F,True,0.12642995
1,623,692,PC,PC,F,M,True,0.12558541
1,893,896,PC*,PC*,M,M,True,0.12558275
1,1492,1651,MP*1,MP*1,M,M,True,0.12535107
1,610,690,PC,PC,M,M,True,0.12518004
1,1108,1601,MP*1,MP*1,M,M,True,0.12511396
1,651,667,PC,PC,M,F,True,0.12430373
1,1492,1618,MP*1,MP*1,M,M,True,0.12380406
1,616,681,PC,PC,M,F,True,0.12369557
1,628,651,PC,PC,F,M,True,0.12347651
1,1144,1657,MP*1,MP*1,F,M,True,0.12277584
1,1657,1679,MP*1,MP*1,M,M,True,0.12227888
1,616,847,PC,PC*,M,F,False,0.12179337
1,616,667,PC,PC,M,F,True,0.12164979
1,826,1170,PSI*,MP*1,M,M,False,0.12125853
